N,metodo,erro_medio,desvio
50,Fibonacci,0.06186066181670419,0.0
50,aleatório,0.10546368393406351,0.0032564021061309858
100,Fibonacci,0.031139307764194494,0.0
100,aleatório,0.054306848036505206,0.0022248224142579196
150,Fibonacci,0.020710190479585822,0.0
150,aleatório,0.03990398253611067,0.0010511707867205808
200,Fibonacci,0.015610650593332226,0.0
200,aleatório,0.03018611076478107,0.0016065848425839543
250,Fibonacci,0.012479636163381533,0.0
250,aleatório,0.023676146056866364,0.0010736718238683433
300,Fibonacci,0.01037004596473224,0.0
300,aleatório,0.018903866699551432,0.0005941380516877194
350,Fibonacci,0.008877428473393713,0.0
350,aleatório,0.017120191969374237,0.0002902533001678544
400,Fibonacci,0.00777342606467249,0.0
400,aleatório,0.01518428250578916,0.0005142848003110155
450,Fibonacci,0.006922888669096163,0.0
450,aleatório,0.013511452568319392,0.00040064071588734757
500,Fibonacci,0.006242730713819449,0.0
500,aleatório,0.011833101439422775,0.0002418726769424707
550,Fibonacci,0.005680431097894128,0.0
550,aleatório,0.010622976157330204,0.0002598180263890927
600,Fibonacci,0.005205725298965036,0.0
600,aleatório,0.010236956214324239,8.610341103568213e-05
650,Fibonacci,0.004800754639936431,0.0
650,aleatório,0.009388451888597904,0.0003414734899300239
700,Fibonacci,0.004452503244640649,0.0
700,aleatório,0.00828524586916419,6.934588481279007e-05
750,Fibonacci,0.004150834446208184,0.0
750,aleatório,0.00810856718694311,0.0001748714804374475
800,Fibonacci,0.003887682444856065,0.0
800,aleatório,0.0076113573652755945,0.00010401234142974019
850,Fibonacci,0.003656566596739963,0.0
850,aleatório,0.007109950940967346,0.00012730918398954334
900,Fibonacci,0.003452246163756558,0.0
900,aleatório,0.006574423454123121,0.0002967627903708319
950,Fibonacci,0.003270458957371495,0.0
950,aleatório,0.006179977950348213,5.962866139798272e-05
1000,Fibonacci,0.0031077192056047564,0.0
1000,aleatório,0.005978628632890101,0.0001364560502174356
1050,Fibonacci,0.0029611600304433458,0.0
