n,t,eventos,p,nt2,menos_log_p
3,0.23094010767585033,61475,0.7684375,0.16,0.26339604657162535
3,0.3831506331894789,49400,0.6175,0.4404132231404958,0.4820762104800047
3,0.5353611587031075,37054,0.463175,0.8598347107438016,0.7696503265460607
3,0.6875716842167362,24926,0.311575,1.4182644628099175,1.1661151992696965
3,0.8397822097303648,12802,0.160025,2.115702479338843,1.8324252259540699
3,0.9919927352439935,656,0.0082,2.952148760330579,4.803621124711929
5,0.17888543819998318,58891,0.7361375,0.16,0.30633835704989176
5,0.2967872042863357,45469,0.5683625,0.4404132231404958,0.5649958596013438
5,0.41468897037268826,33113,0.4139125,0.8598347107438017,0.8821006801519478
5,0.5325907364590408,22061,0.2757625,1.418264462809917,1.2882152909602556
5,0.6504925025453934,12882,0.161025,2.115702479338843,1.8261956465491826
5,0.7683942686317459,5921,0.0740125,2.9521487603305783,2.6035212811242427
5,0.8862960347180983,1523,0.0190375,3.927603305785122,3.961344560760857
10,0.12649110640673517,57016,0.7127,0.15999999999999998,0.338694704474312
10,0.20986024472026515,42941,0.5367625,0.44041322314049575,0.6221995541851463
10,0.29322938303379514,30632,0.3829,0.8598347107438015,0.9599814204988881
10,0.37659852134732513,20453,0.2556625,1.418264462809917,1.3638970636778522
10,0.4599676596608552,12423,0.1552875,2.115702479338843,1.8624770414423417
10,0.5433367979743852,6736,0.0842,2.9521487603305787,2.474560357733856
10,0.626705936287915,3109,0.0388625,3.9276033057851225,3.2477255035972648
10,0.710075074601445,1136,0.0142,5.042066115702477,4.254513314374922
10,0.793444212914975,282,0.003525,6.2955371900826425,5.647874842717905
10,0.876813351228505,33,0.0004125,7.688016528925617,7.793274352189538
30,0.07302967433402215,55742,0.696775,0.15999999999999998,0.3612927323882893
30,0.12116286878144583,41363,0.5170375,0.4404132231404958,0.6596398732550307
30,0.16929606322886953,29007,0.3625875,0.8598347107438018,1.0144894545043615
30,0.2174292576762932,19134,0.239175,1.4182644628099172,1.430559777417906
30,0.26556245212371693,12003,0.1500375,2.1157024793388435,1.896870016130674
30,0.31369564657114063,6966,0.087075,2.952148760330579,2.440985462730072
30,0.3618288410185642,3763,0.0470375,3.9276033057851225,3.0568101230625815
30,0.4099620354659879,1833,0.0229125,5.042066115702478,3.7760726658163137
30,0.4580952299134116,795,0.0099375,6.295537190082643,4.611439799001687
30,0.5062284243608353,316,0.00395,7.688016528925617,5.534039700069107
30,0.554361618808259,99,0.0012375,9.219504132231403,6.694662063521428
30,0.6024948132556827,32,0.0004,10.889999999999997,7.824046010856292
100,0.04,55426,0.692825,0.16,0.3669778369346294
100,0.06636363636363636,40844,0.51055,0.4404132231404958,0.6722667029805902
100,0.09272727272727273,28746,0.359325,0.8598347107438017,1.0235280075448416
100,0.1190909090909091,19005,0.2375625,1.4182644628099175,1.4373245322326695
100,0.14545454545454545,11921,0.1490125,2.1157024793388426,1.903725083938017
100,0.17181818181818181,6976,0.0872,2.9521487603305783,2.439550948067203
100,0.19818181818181815,3773,0.0471625,3.927603305785123,3.0541561936917083
100,0.22454545454545452,1945,0.0243125,5.042066115702479,3.716764657603472
100,0.25090909090909086,912,0.0114,6.2955371900826425,4.474141923581687
100,0.2772727272727272,407,0.0050875,7.688016528925617,5.2809687282134234
100,0.3036363636363636,180,0.00225,9.219504132231403,6.0968250627658085
100,0.32999999999999996,64,0.0008,10.889999999999997,7.1308988302963465
