n_ambiente,dim_intrinseca,N,raio_sondas
3,2,100,0.4415355478227199
3,2,300,0.30853753131176553
3,2,1000,0.1893906406679764
3,2,3000,0.11431097125452641
3,2,100,0.4473113820607703
3,2,300,0.2840578348854783
3,2,1000,0.1551089926966334
3,2,3000,0.12992266042192194
5,4,100,0.8747211358600839
5,4,300,0.6619431958572315
5,4,1000,0.4656754746720648
5,4,3000,0.37944517258595206
5,2,100,0.5255109086959533
5,2,300,0.42413054594852695
5,2,1000,0.18052902636064558
5,2,3000,0.10095684645776196
10,9,100,1.1047450084643045
10,9,300,0.941597219987813
10,9,1000,0.8029895991333699
10,9,3000,0.7026972435079784
10,2,100,0.552938775383215
10,2,300,0.3278641587872224
10,2,1000,0.18126744669749184
10,2,3000,0.10869041896203403
