N,D,p_monomios,p_efetivo,posto_numerico,razao_p_N,MSE_treino,MSE_teste
80,1,4,4,4,0.05,0.5840480364192254,0.6323048209444191
80,2,10,9,9,0.1125,0.20527237243706412,0.2152106119720225
80,3,20,16,16,0.2,0.02099629753519257,0.0034862093049787095
80,4,35,25,25,0.3125,0.017413715642594824,0.009180481276919698
80,5,56,36,36,0.45,0.014314731677161446,0.015705914912973216
80,6,84,49,49,0.6125,0.009336792240326127,0.04255347181060701
80,7,120,64,64,0.8,0.005398326532641437,1.4000705860908995
80,8,165,81,80,1.0125,1.6251230206637464e-24,49567.49542702851
80,9,220,100,80,1.25,6.402366964122419e-28,159.25710614528379
80,10,286,121,80,1.5125,2.2153464667746026e-28,61.10628376531519
80,11,364,144,80,1.8,6.138680456531953e-28,78.384126780276
80,12,455,169,80,2.1125,3.79697297980825e-28,50.85283826271732
80,13,560,196,80,2.45,2.0971909054276887e-28,68.47876956661524
80,14,680,225,80,2.8125,3.394902459404857e-28,55.31150958921363
80,15,816,256,80,3.2,2.512036648782937e-28,71.30635012374651
80,16,969,289,80,3.6125,7.940109935592864e-28,64.06685947473692
80,17,1140,324,80,4.05,2.0711515381334715e-28,78.43709707206115
80,18,1330,361,80,4.5125,4.207417154720347e-28,74.49925540420958
80,19,1540,400,80,5.0,5.862766171576323e-28,87.03180102121554
80,20,1771,441,80,5.5125,8.114940704081736e-28,85.23158459539476
80,21,2024,484,80,6.05,3.6865583568350605e-28,95.69011084895146
80,22,2300,529,80,6.6125,2.1850788165839805e-28,95.3348201287508
80,23,2600,576,80,7.2,1.4838396975195446e-27,103.64179645312412
80,24,2925,625,80,7.8125,1.5601766367969045e-28,104.21546388743681
80,25,3276,676,80,8.45,7.478536389184294e-28,110.50178643154494
400,1,4,4,4,0.01,0.5509142224709739,0.5500826657887139
400,2,10,9,9,0.0225,0.19158459790784174,0.18692555575737804
400,3,20,16,16,0.04,0.02228621843066646,0.0008441000797573408
400,4,35,25,25,0.0625,0.02190281700402319,0.0011617715613131683
400,5,56,36,36,0.09,0.02015003049810453,0.0030745355532784116
400,6,84,49,49,0.1225,0.01946545927847655,0.004117505285965803
400,7,120,64,64,0.16,0.018983271753726848,0.0049928749941885835
400,8,165,81,81,0.2025,0.018430452303231176,0.006261692196269529
400,9,220,100,100,0.25,0.01678017464610909,0.010852819361305789
400,10,286,121,121,0.3025,0.015500137358682725,0.0125751931408929
400,11,364,144,144,0.36,0.014140507356410464,0.01359483822273965
400,12,455,169,169,0.4225,0.01245882714598731,0.018707237598470764
400,13,560,196,196,0.49,0.010706816585538292,0.027503803345549565
400,14,680,225,225,0.5625,0.009482253270040994,0.04167283870873686
400,15,816,256,256,0.64,0.007598118923432242,0.07489561092355493
400,16,969,289,289,0.7225,0.005872900340278908,0.48768067708956125
400,17,1140,324,324,0.81,0.0034278459946453605,1.193181137232225
400,18,1330,361,361,0.9025,0.0021762651093339648,12.893186778562136
400,19,1540,400,400,1.0,5.790929417259298e-18,235268.41536472188
400,20,1771,441,400,1.1025,7.362854560221063e-20,5028.599158254812
400,21,2024,484,400,1.21,2.5003294564152138e-20,4987.289483040339
400,22,2300,529,400,1.3225,1.128580735282674e-20,3102.6797414398925
400,23,2600,576,400,1.44,5.440631721504416e-21,3462.91420636438
400,24,2925,625,400,1.5625,7.52572205671439e-21,3245.59366868907
400,25,3276,676,400,1.69,3.873170052543287e-21,3017.507932964864
