indice,esfera,elipsoide
0,1.2339372687079091e-15,9.146037195785373e-15
1,1.9999939051547924,1.24762830595491
2,1.9999997035324437,1.7695006663958037
3,2.0000051388901294,1.7695116824095463
4,5.759874648907488,3.8448544821365074
5,5.759985592934315,4.3527074332973745
6,5.759987083690854,4.35274080876786
7,5.7600369967942875,5.294260643876799
8,5.7601088451237725,5.294473580828904
9,10.847354384819907,7.529234284738501
10,10.847882808389185,7.970425710812239
11,10.84794841843616,7.970549113880357
12,10.84800222188163,8.901820381050754
13,10.848006672146637,8.901986389685351
14,10.848223656267537,10.20645026450488
15,10.848560500980186,10.207472934139872
16,16.720849352715625,11.99820491347721
17,16.72214475945062,12.360564932669352
18,16.722519019395172,12.360844093046083
19,16.72255168661384,13.224537876025881
20,16.722554391335265,13.224921036922154
21,16.72257327098697,14.457848608713071
