ruido,penalidade,lambda_,MSE_validacao,MSE_teste
branco,ridge,9.999999999999999e-06,0.11870317212201106,0.027007002270614783
branco,ridge,2.2758459260747865e-05,0.11870313361205977,0.027006933463008097
branco,ridge,5.1794746792312125e-05,0.118703047073605,0.027006778100942225
branco,ridge,0.00011787686347935866,0.11870285584231924,0.027006430906500786
branco,ridge,0.0002682695795279727,0.11870245020946006,0.027005673785585646
branco,ridge,0.0006105402296585327,0.11870167990245388,0.02700412142170218
branco,ridge,0.0013894954943731374,0.1187007142869879,0.027001468019167883
branco,ridge,0.0031622776601683794,0.11870254649788402,0.026999929670248557
branco,ridge,0.0071968567300115215,0.1187270268380836,0.027019105394342633
branco,ridge,0.016378937069540647,0.11888170198183762,0.027173177315180822
branco,ridge,0.037275937203149416,0.1196818081809126,0.028023241853190894
branco,ridge,0.08483428982440726,0.12324568300512397,0.03189539901706359
branco,ridge,0.19306977288832497,0.13638104425925435,0.04625964930880878
branco,ridge,0.4393970560760795,0.17379073363990188,0.08708020550729564
branco,ridge,1.0,0.25092942732899526,0.1704568928800759
branco,Dirichlet,9.999999999999999e-06,0.11868273843532405,0.026988139124974064
branco,Dirichlet,2.2758459260747865e-05,0.11865671126140437,0.02696408325978379
branco,Dirichlet,5.1794746792312125e-05,0.1185978176592571,0.026909667194138887
branco,Dirichlet,0.00011787686347935866,0.11846552801746128,0.026787522373027214
branco,Dirichlet,0.0002682695795279727,0.11817326687528903,0.026518120375904387
branco,Dirichlet,0.0006105402296585327,0.11755134140715771,0.025947102415683165
branco,Dirichlet,0.0013894954943731374,0.11633510143725548,0.024841693186261615
branco,Dirichlet,0.0031622776601683794,0.11438148029632662,0.023121549209560603
branco,Dirichlet,0.0071968567300115215,0.11266631376460443,0.021892840624470875
branco,Dirichlet,0.016378937069540647,0.11571888349115537,0.026023971249404677
branco,Dirichlet,0.037275937203149416,0.13494845414242487,0.04771149360696661
branco,Dirichlet,0.08483428982440726,0.18811803362755394,0.10557250678281886
branco,Dirichlet,0.19306977288832497,0.2846123770630736,0.20838624028488964
branco,Dirichlet,0.4393970560760795,0.40280051375866877,0.3322156333765648
branco,Dirichlet,1.0,0.5027128216883077,0.4356795167742264
branco,biharmônico,9.999999999999999e-06,0.11792256187592692,0.02629342756877839
branco,biharmônico,2.2758459260747865e-05,0.11700661764708072,0.025456858971765247
branco,biharmônico,5.1794746792312125e-05,0.1151977598849392,0.023807247335292367
branco,biharmônico,0.00011787686347935866,0.11209247972173707,0.020985660307272953
branco,biharmônico,0.0002682695795279727,0.1078833512500232,0.017212377128554234
branco,biharmônico,0.0006105402296585327,0.10422419864885203,0.014198485826011681
branco,biharmônico,0.0013894954943731374,0.10526954476395092,0.01637390238915589
branco,biharmônico,0.0031622776601683794,0.11938412737583091,0.0327199144487384
branco,biharmônico,0.0071968567300115215,0.15833721226872946,0.0757166139241865
branco,biharmônico,0.016378937069540647,0.23021250393786352,0.15331852216468128
branco,biharmônico,0.037275937203149416,0.3323652519962915,0.2612066811428778
branco,biharmônico,0.08483428982440726,0.44198568190890836,0.37476975056037126
branco,biharmônico,0.19306977288832497,0.5275415212435254,0.4623278204552519
branco,biharmônico,0.4393970560760795,0.5791241534707863,0.5147828770499637
branco,biharmônico,1.0,0.6057046926076641,0.541731633040107
suave,ridge,9.999999999999999e-06,0.1800696217094848,0.088549289788755
suave,ridge,2.2758459260747865e-05,0.18006464021377383,0.08854496926305362
suave,ridge,5.1794746792312125e-05,0.1800533056724935,0.08853513890781549
suave,ridge,0.00011787686347935866,0.18002752333705496,0.08851277945445814
suave,ridge,0.0002682695795279727,0.1799689157159247,0.08846195964389586
suave,ridge,0.0006105402296585327,0.1798358904648137,0.08834664716329384
suave,ridge,0.0013894954943731374,0.179534984272901,0.08808599516050275
suave,ridge,0.0031622776601683794,0.17885959241221966,0.0875019194888896
suave,ridge,0.0071968567300115215,0.17737017232902524,0.08621879778010355
suave,ridge,0.016378937069540647,0.17421462881915709,0.0835249986445295
suave,ridge,0.037275937203149416,0.1681131963488316,0.0784358546105762
suave,ridge,0.08483428982440726,0.15861437461214045,0.07106039554708383
suave,ridge,0.19306977288832497,0.15107098708579203,0.06760953373017368
suave,ridge,0.4393970560760795,0.16399988078484581,0.08739772257112989
suave,ridge,1.0,0.22228995259691448,0.1549323587396008
suave,Dirichlet,9.999999999999999e-06,0.1800592579573541,0.0885397989677334
suave,Dirichlet,2.2758459260747865e-05,0.1800410827272024,0.08852340124336244
suave,Dirichlet,5.1794746792312125e-05,0.1799998412796685,0.08848621674731025
suave,Dirichlet,0.00011787686347935866,0.1799066123109069,0.08840228051115831
suave,Dirichlet,0.0002682695795279727,0.17969764806741187,0.08821476914184068
suave,Dirichlet,0.0006105402296585327,0.1792381088120113,0.08780556700154499
suave,Dirichlet,0.0013894954943731374,0.17826906005794474,0.08695824863671849
suave,Dirichlet,0.0031622776601683794,0.176403829938732,0.0854005279721256
suave,Dirichlet,0.0071968567300115215,0.1734865656089918,0.08328619236048088
suave,Dirichlet,0.016378937069540647,0.17118253015472348,0.08302496527595786
suave,Dirichlet,0.037275937203149416,0.17688731194745683,0.09335901545611712
suave,Dirichlet,0.08483428982440726,0.20735673604012905,0.13226397972986825
suave,Dirichlet,0.19306977288832497,0.2791277103430659,0.2149484004312097
suave,Dirichlet,0.4393970560760795,0.3812067120027452,0.3261372836922719
suave,Dirichlet,1.0,0.4765801532380145,0.42642477332427076
suave,biharmônico,9.999999999999999e-06,0.18002171042200277,0.08849515025642425
suave,biharmônico,2.2758459260747865e-05,0.1799578228536143,0.08842509771792123
suave,biharmônico,5.1794746792312125e-05,0.17982096040909148,0.0882783495488917
suave,biharmônico,0.00011787686347935866,0.17954842078741587,0.0880003472283005
suave,biharmônico,0.0002682695795279727,0.17909714980284783,0.08759368128193731
suave,biharmônico,0.0006105402296585327,0.17875285023340287,0.08749840875728189
suave,biharmônico,0.0013894954943731374,0.18025807454866433,0.08988403210392157
suave,biharmônico,0.0031622776601683794,0.18889756681622807,0.10107123912509647
suave,biharmônico,0.0071968567300115215,0.21372144011668587,0.13184623321192077
suave,biharmônico,0.016378937069540647,0.2643427170503572,0.19267409425859736
suave,biharmônico,0.037275937203149416,0.34605523420390716,0.286245192070212
suave,biharmônico,0.08483428982440726,0.4409627627047937,0.39009790436585334
suave,biharmônico,0.19306977288832497,0.5156765407397436,0.46901051924101894
suave,biharmônico,0.4393970560760795,0.560852564735246,0.5150467108446303
suave,biharmônico,1.0,0.5859988403797314,0.5397804405572757
