repeticao,modelo,peso_original,peso_duplicata
0,lasso,0.18654616199364477,0.0
0,elastic net,0.0747258351507753,0.07316732095331116
1,lasso,0.17848518713431402,0.01586573513577481
1,elastic net,0.07570994433657502,0.07501757993061293
2,lasso,0.17149196656399054,0.02505244265097776
2,elastic net,0.07611693713231614,0.07559540543384015
3,lasso,0.1940376738742058,0.0
3,elastic net,0.0760260106039142,0.07432624381451063
4,lasso,0.20517880500081406,0.0
4,elastic net,0.07847973864453993,0.07736780947226711
5,lasso,0.19733818075450152,0.0
5,elastic net,0.07657183872930115,0.0749996095473977
6,lasso,0.19464233094626668,0.0
6,elastic net,0.0759394571333638,0.07499655326456761
7,lasso,0.1921749471454916,0.0
7,elastic net,0.07576852872322828,0.07468124701675802
8,lasso,0.20045943920812345,0.0
8,elastic net,0.07722256748952681,0.07624855515892183
9,lasso,0.18624716116391857,0.0
9,elastic net,0.07486681356083874,0.07376708876601172
10,lasso,0.18289429393658774,0.010508072585226447
10,elastic net,0.0761668123264189,0.07551054498872865
11,lasso,0.19620554977558263,0.0
11,elastic net,0.07589341121750899,0.07491396937273205
12,lasso,0.18518258714279523,0.0
12,elastic net,0.07521132132025755,0.07390833919215183
13,lasso,0.18568950357309466,0.005513572779588886
13,elastic net,0.07529288409390504,0.07468825628798163
14,lasso,0.19702684313950347,0.0031504817959966893
14,elastic net,0.0764978701960452,0.07575517647884802
15,lasso,0.15956809717657672,0.020613415220351105
15,elastic net,0.07401817659606934,0.073507142413651
16,lasso,0.19544473108027507,0.0
16,elastic net,0.07662868051893945,0.07540074292580326
17,lasso,0.19998522626360976,0.0
17,elastic net,0.07767321919135332,0.07627675221553071
18,lasso,0.16645651948490142,0.02380089143417203
18,elastic net,0.075666081904393,0.07513000012456032
19,lasso,0.18395906137877005,0.0
19,elastic net,0.07441967983777405,0.0735899623302299
20,lasso,0.1920920772192342,0.0
20,elastic net,0.07583302357087505,0.07473769483703294
21,lasso,0.1868266172387223,0.0038905958087001257
21,elastic net,0.07542555348580085,0.07467829087053966
22,lasso,0.1882661333491885,0.0
22,elastic net,0.0757694031400468,0.07466122690471047
23,lasso,0.18232172977915803,0.0
23,elastic net,0.07447646379216477,0.07351922687883507
24,lasso,0.18812255550010584,0.0
24,elastic net,0.07554575878793263,0.07436185570038728
25,lasso,0.17835046182510447,0.0
25,elastic net,0.07392547915077817,0.07278157317838913
26,lasso,0.18776006903633666,0.0
26,elastic net,0.07600667982894281,0.07511931977226599
27,lasso,0.1820664542606887,0.0
27,elastic net,0.07428227679743592,0.07344121160321469
28,lasso,0.1922113874628641,0.0
28,elastic net,0.07533215260590315,0.07391975149467132
29,lasso,0.19036193650491592,0.0
29,elastic net,0.07512426028141242,0.07393190653643611
30,lasso,0.18108061192267194,0.014845459361958808
30,elastic net,0.07654930435629656,0.07597104840856145
31,lasso,0.19566796195294237,0.0
31,elastic net,0.07659470183789151,0.07525822093626611
32,lasso,0.18583987656038464,0.0
32,elastic net,0.0752858014999553,0.07388566101038782
33,lasso,0.1822780681069461,0.0
33,elastic net,0.07464481007244758,0.07324970554216612
34,lasso,0.17926973650670475,0.008068242795290384
34,elastic net,0.07476455714481135,0.07399499785789296
