modelo,alpha,nao_nulos,MSE_validacao
lasso,0.0001,15,0.00034903590077408996
ridge,0.0001,18,0.0003488735054532616
lasso,0.00016506198320857511,10,0.00034996663543599544
ridge,0.00016506198320857511,18,0.00034889147538858363
lasso,0.0002724545830074793,8,0.0003513424624456073
ridge,0.0002724545830074793,18,0.00034892185468882804
lasso,0.0004497189380547984,6,0.00035181467992803617
ridge,0.0004497189380547984,18,0.000348973932722344
lasso,0.0007423149980177936,2,0.00035280650545330854
ridge,0.0007423149980177936,18,0.000349065062839624
lasso,0.0012252798573828651,2,0.00035452569277000094
ridge,0.0012252798573828651,18,0.00034922913599782173
lasso,0.0020224712324513556,2,0.0003582834821728967
ridge,0.0020224712324513556,18,0.00034953529417128016
lasso,0.003338331126107119,2,0.00036699297589460765
ridge,0.003338331126107119,18,0.00035012911585345576
lasso,0.005510315562821569,2,0.000388198937304723
ridge,0.005510315562821569,18,0.00035131898778231556
lasso,0.00909543614904404,2,0.0004418103282751797
ridge,0.00909543614904404,18,0.0003537368875210702
lasso,0.015013107289081742,2,0.000581001753767061
ridge,0.015013107289081742,18,0.00035856995003620383
lasso,0.024780932632589445,2,0.0009488867530551043
ridge,0.024780932632589445,18,0.0003677229049306824
lasso,0.040903898860933104,1,0.0019342853618734644
ridge,0.040903898860933104,18,0.00038359942685146226
lasso,0.06751678666948593,1,0.004586599941760152
ridge,0.06751678666948593,18,0.0004085611100333095
lasso,0.11144454707535624,1,0.011756235044765634
ridge,0.11144454707535624,18,0.00044573900451963034
lasso,0.18395257958039712,1,0.031196615395117134
ridge,0.18395257958039712,18,0.0005046332925992421
lasso,0.30363577601873587,0,0.039115262037392705
ridge,0.30363577601873587,18,0.000614962491060951
lasso,0.5011872336272722,0,0.039115262037392705
ridge,0.5011872336272722,18,0.0008522866072764074
