N,semente,modelo,MSE
80,0,polinômio,0.001971743270560251
80,0,MLP,0.008288389595612494
80,1,polinômio,0.004679336584581442
80,1,MLP,0.007636416423957155
80,2,polinômio,0.002333313684462712
80,2,MLP,0.00858471253105977
160,0,polinômio,0.0012324406827129676
160,0,MLP,0.006282013038911822
160,1,polinômio,0.0012066738900888667
160,1,MLP,0.009243054314297628
160,2,polinômio,0.0013490252279037857
160,2,MLP,0.00616132078252628
400,0,polinômio,0.0012491653197723642
400,0,MLP,0.007138407516723276
400,1,polinômio,0.0012312360892388144
400,1,MLP,0.00828873704504463
400,2,polinômio,0.0013544799535308023
400,2,MLP,0.005002251544310847
1000,0,polinômio,0.0011277986179382047
1000,0,MLP,0.006317022126524601
1000,1,polinômio,0.001164271794899235
1000,1,MLP,0.007178245903780326
1000,2,polinômio,0.0012067787950852955
1000,2,MLP,0.004433237928011051
2500,0,polinômio,0.0011129840100100375
2500,0,MLP,0.006502098388176949
2500,1,polinômio,0.0011124970587065134
2500,1,MLP,0.007352359212827406
2500,2,polinômio,0.0011198874948841226
2500,2,MLP,0.004557139962927378
