alpha,semente,MSE_polinomio,MSE_MLP
0.0,0,1.5074116097870005e-30,0.0035177015497769772
0.0,1,1.5074116097870005e-30,0.0021616548424743917
0.0,2,1.5074116097870005e-30,0.00265416306998576
0.125,0,2.104981327509735e-05,0.005053349795784251
0.125,1,2.104981327509735e-05,0.0018219272739696734
0.125,2,2.104981327509735e-05,0.002211364862166383
0.25,0,8.419925310038909e-05,0.002407592255092461
0.25,1,8.419925310038909e-05,0.0015827750861666604
0.25,2,8.419925310038909e-05,0.0017568430653782073
0.375,0,0.0001894483194758743,0.0016726001625188293
0.375,1,0.0001894483194758743,0.0010639745670978002
0.375,2,0.0001894483194758743,0.0016424451279448817
0.5,0,0.00033679701240155435,0.0011139501945667163
0.5,1,0.00033679701240155435,0.0006924535964865283
0.5,2,0.00033679701240155435,0.001585354826835204
0.625,0,0.0005262453318774288,0.0006993506876751077
0.625,1,0.0005262453318774288,0.0005669991646018345
0.625,2,0.0005262453318774288,0.0011772086202771913
0.75,0,0.0007577932779034963,0.0005165429673712551
0.75,1,0.0007577932779034963,0.0004010370139930621
0.75,2,0.0007577932779034963,0.0017756703682547904
0.875,0,0.0010314408504797587,0.0005952293000597162
0.875,1,0.0010314408504797587,0.0005258876215378736
0.875,2,0.0010314408504797587,0.002208239915832684
1.0,0,0.0013471880496062152,0.001561293003532061
1.0,1,0.0013471880496062152,0.0004402292443987215
1.0,2,0.0013471880496062152,0.00230321174384422
