largura,semente,MSE_treino,MSE_teste
32,0,0.00018828619795385748,0.0002778056397196908
32,1,0.00012035360850859433,0.00016993503126337074
32,2,3.354805812705308e-05,5.04879510662818e-05
32,3,5.745954331359826e-05,4.5205710900671025e-05
32,4,0.0001975378836505115,0.00025060947722316897
32,5,0.0003040787414647639,0.000420481743047405
32,6,6.0816018958576024e-05,7.840242256438105e-05
32,7,7.163977716118097e-05,9.806222511367656e-05
128,0,1.8248847482027486e-05,3.0064079571416068e-05
128,1,8.336958126164973e-05,0.00011604319075967099
128,2,3.91090870834887e-05,5.699539326628567e-05
128,3,4.560294473776594e-05,6.895606061236842e-05
128,4,0.00018198839097749442,0.00038956015945152957
128,5,6.528403173433617e-05,0.0001168866084633056
128,6,0.0001733737444737926,0.00028096919274254404
128,7,9.769041935214773e-05,0.00013484698068807663
