ativacao,entrada,epoca,modo,residuo
Tanh,coordenadas do círculo,0,1,1.0030408616942386
Tanh,coordenadas do círculo,0,3,1.0059431611914251
Tanh,coordenadas do círculo,0,9,0.9999991262230031
Tanh,coordenadas do círculo,0,17,0.9999999994632686
Tanh,coordenadas do círculo,20,1,0.17068414901412543
Tanh,coordenadas do círculo,20,3,0.9776524768058598
Tanh,coordenadas do círculo,20,9,1.00000140175538
Tanh,coordenadas do círculo,20,17,1.000000005833168
Tanh,coordenadas do círculo,40,1,0.04815236303581952
Tanh,coordenadas do círculo,40,3,0.9547424693165003
Tanh,coordenadas do círculo,40,9,0.9999868546040618
Tanh,coordenadas do círculo,40,17,1.0000000004437923
Tanh,coordenadas do círculo,60,1,0.04441674106716405
Tanh,coordenadas do círculo,60,3,0.891793887064324
Tanh,coordenadas do círculo,60,9,0.9998022168180432
Tanh,coordenadas do círculo,60,17,0.9999998600784454
Tanh,coordenadas do círculo,80,1,0.07547483694670071
Tanh,coordenadas do círculo,80,3,0.7335063031315381
Tanh,coordenadas do círculo,80,9,0.9970830586104282
Tanh,coordenadas do círculo,80,17,0.9999753177130172
Tanh,coordenadas do círculo,100,1,0.05061722624367086
Tanh,coordenadas do círculo,100,3,0.4363911950854979
Tanh,coordenadas do círculo,100,9,0.9757254678463062
Tanh,coordenadas do círculo,100,17,0.9996548290603738
Tanh,coordenadas do círculo,120,1,0.0086743787761186
Tanh,coordenadas do círculo,120,3,0.054069143515578864
Tanh,coordenadas do círculo,120,9,0.9289341217789086
Tanh,coordenadas do círculo,120,17,0.9997318559765721
Tanh,coordenadas do círculo,140,1,0.012110630038839035
Tanh,coordenadas do círculo,140,3,0.09560724240072448
Tanh,coordenadas do círculo,140,9,0.8877303190461819
Tanh,coordenadas do círculo,140,17,0.9994678144260777
Tanh,coordenadas do círculo,160,1,0.010919766166323513
Tanh,coordenadas do círculo,160,3,0.07473497129332923
Tanh,coordenadas do círculo,160,9,0.8590414778665864
Tanh,coordenadas do círculo,160,17,0.9982018251833901
Tanh,coordenadas do círculo,180,1,0.012686333080397972
Tanh,coordenadas do círculo,180,3,0.08786178076050838
Tanh,coordenadas do círculo,180,9,0.8284067883346498
Tanh,coordenadas do círculo,180,17,0.9946046511974466
Tanh,coordenadas do círculo,200,1,0.013938697971952263
Tanh,coordenadas do círculo,200,3,0.10282254364376646
Tanh,coordenadas do círculo,200,9,0.7947018812979477
Tanh,coordenadas do círculo,200,17,0.9872537398821282
Tanh,coordenadas do círculo,220,1,0.010538278876114231
Tanh,coordenadas do círculo,220,3,0.09726598729031785
Tanh,coordenadas do círculo,220,9,0.7517141975401042
Tanh,coordenadas do círculo,220,17,0.9752939760117615
Tanh,coordenadas do círculo,240,1,0.010505478433887015
Tanh,coordenadas do círculo,240,3,0.09396354809846194
Tanh,coordenadas do círculo,240,9,0.6927946687349745
Tanh,coordenadas do círculo,240,17,0.956720069219426
Tanh,coordenadas do círculo,260,1,0.008352403288018392
Tanh,coordenadas do círculo,260,3,0.07350641851388892
Tanh,coordenadas do círculo,260,9,0.6236352253329553
Tanh,coordenadas do círculo,260,17,0.9304141481348441
Tanh,coordenadas do círculo,280,1,0.004873722890322938
Tanh,coordenadas do círculo,280,3,0.05889829298445278
Tanh,coordenadas do círculo,280,9,0.5505701603893856
Tanh,coordenadas do círculo,280,17,0.897894525542853
Tanh,coordenadas do círculo,300,1,0.0021721824781905587
Tanh,coordenadas do círculo,300,3,0.049001467818004435
Tanh,coordenadas do círculo,300,9,0.477917961127999
Tanh,coordenadas do círculo,300,17,0.8599254287580895
Tanh,coordenadas do círculo,320,1,0.0010390315006497258
Tanh,coordenadas do círculo,320,3,0.04624713495911014
Tanh,coordenadas do círculo,320,9,0.399498198141964
Tanh,coordenadas do círculo,320,17,0.8153197243200463
Tanh,coordenadas do círculo,340,1,5.930881172507783e-05
Tanh,coordenadas do círculo,340,3,0.015202939952299536
Tanh,coordenadas do círculo,340,9,0.31071740182639784
Tanh,coordenadas do círculo,340,17,0.7628026780762133
Tanh,coordenadas do círculo,360,1,0.00031708191024347156
Tanh,coordenadas do círculo,360,3,0.0026543474927491237
Tanh,coordenadas do círculo,360,9,0.22093406840473198
Tanh,coordenadas do círculo,360,17,0.7063565080547749
Tanh,coordenadas do círculo,380,1,0.0016580804810296436
Tanh,coordenadas do círculo,380,3,0.00499819766564229
Tanh,coordenadas do círculo,380,9,0.14833407479251493
Tanh,coordenadas do círculo,380,17,0.6477850889021632
Tanh,coordenadas do círculo,400,1,0.002443268174632339
Tanh,coordenadas do círculo,400,3,0.010969446058067862
Tanh,coordenadas do círculo,400,9,0.09020411294416575
Tanh,coordenadas do círculo,400,17,0.5939196945067887
Tanh,coordenadas do círculo,420,1,0.0033071901386895206
Tanh,coordenadas do círculo,420,3,0.016324645978644407
Tanh,coordenadas do círculo,420,9,0.043707121998526284
Tanh,coordenadas do círculo,420,17,0.5474839982781537
Tanh,coordenadas do círculo,440,1,0.003677529978375629
Tanh,coordenadas do círculo,440,3,0.015542906076287631
Tanh,coordenadas do círculo,440,9,0.010504194716063103
Tanh,coordenadas do círculo,440,17,0.5089477274335314
Tanh,coordenadas do círculo,460,1,0.003563100383593056
Tanh,coordenadas do círculo,460,3,0.017798579084218037
Tanh,coordenadas do círculo,460,9,0.013182154737870776
Tanh,coordenadas do círculo,460,17,0.47586242045928123
Tanh,coordenadas do círculo,480,1,0.002613787329343418
Tanh,coordenadas do círculo,480,3,0.010236557369320581
Tanh,coordenadas do círculo,480,9,0.027420947686362173
Tanh,coordenadas do círculo,480,17,0.44680243552819987
Tanh,coordenadas do círculo,500,1,0.0018016577558434093
Tanh,coordenadas do círculo,500,3,0.00401489081373411
Tanh,coordenadas do círculo,500,9,0.03490249579601217
Tanh,coordenadas do círculo,500,17,0.4207991209182251
Tanh,coordenadas do círculo,520,1,0.0015552697023608441
Tanh,coordenadas do círculo,520,3,0.0022277900110524345
Tanh,coordenadas do círculo,520,9,0.0420719935905823
Tanh,coordenadas do círculo,520,17,0.39623121766050384
Tanh,coordenadas do círculo,540,1,0.0011952466519028668
Tanh,coordenadas do círculo,540,3,0.0005714381485649742
Tanh,coordenadas do círculo,540,9,0.04857064397225507
Tanh,coordenadas do círculo,540,17,0.3707715371649169
Tanh,coordenadas do círculo,560,1,0.0006511988088399457
Tanh,coordenadas do círculo,560,3,0.0007923781586183142
Tanh,coordenadas do círculo,560,9,0.054769006162239765
Tanh,coordenadas do círculo,560,17,0.34646955967773974
Tanh,coordenadas do círculo,580,1,1.1055470790370882e-05
Tanh,coordenadas do círculo,580,3,0.0006799218150261696
Tanh,coordenadas do círculo,580,9,0.06028183927241717
Tanh,coordenadas do círculo,580,17,0.32438948808778006
Tanh,coordenadas do círculo,600,1,0.000660023238646859
Tanh,coordenadas do círculo,600,3,4.192253380682242e-05
Tanh,coordenadas do círculo,600,9,0.06531772749259504
Tanh,coordenadas do círculo,600,17,0.30472518906396984
Tanh,coordenadas do círculo,620,1,0.0013603612292822796
Tanh,coordenadas do círculo,620,3,0.000727909366814835
Tanh,coordenadas do círculo,620,9,0.07044601440052728
Tanh,coordenadas do círculo,620,17,0.28679961451885094
Tanh,coordenadas do círculo,640,1,0.0020365794257136676
Tanh,coordenadas do círculo,640,3,0.00020757646478921033
Tanh,coordenadas do círculo,640,9,0.07339357008757884
Tanh,coordenadas do círculo,640,17,0.27146692336992057
Tanh,coordenadas do círculo,660,1,0.0023473860207408395
Tanh,coordenadas do círculo,660,3,0.00026878802824048076
Tanh,coordenadas do círculo,660,9,0.0737271581018419
Tanh,coordenadas do círculo,660,17,0.2591035792628427
Tanh,coordenadas do círculo,680,1,0.0026686130384012603
Tanh,coordenadas do círculo,680,3,0.0004375737423543909
Tanh,coordenadas do círculo,680,9,0.07318100199555919
Tanh,coordenadas do círculo,680,17,0.24928737592977332
Tanh,coordenadas do círculo,700,1,0.003044160938696555
Tanh,coordenadas do círculo,700,3,0.0007870889979204912
Tanh,coordenadas do círculo,700,9,0.07208049914351769
Tanh,coordenadas do círculo,700,17,0.24136223360664594
Tanh,coordenadas do círculo,720,1,0.0033999326938314164
Tanh,coordenadas do círculo,720,3,0.0003369071294224748
Tanh,coordenadas do círculo,720,9,0.07070126726226247
Tanh,coordenadas do círculo,720,17,0.23044840991377025
Tanh,coordenadas do círculo,740,1,0.0037194375562820303
Tanh,coordenadas do círculo,740,3,0.0005209557901613134
Tanh,coordenadas do círculo,740,9,0.06842147872745424
Tanh,coordenadas do círculo,740,17,0.21958776000731112
Tanh,coordenadas do círculo,760,1,0.0038978770974121687
Tanh,coordenadas do círculo,760,3,0.0016877954683508706
Tanh,coordenadas do círculo,760,9,0.0651752064607523
Tanh,coordenadas do círculo,760,17,0.20806176182240374
Tanh,coordenadas do círculo,780,1,0.0035110889129899066
Tanh,coordenadas do círculo,780,3,0.0007555924598505029
Tanh,coordenadas do círculo,780,9,0.058013936196225274
Tanh,coordenadas do círculo,780,17,0.19234392976537415
Tanh,coordenadas do círculo,800,1,0.0023005292478846043
Tanh,coordenadas do círculo,800,3,0.005910143938637839
Tanh,coordenadas do círculo,800,9,0.04893241951482931
Tanh,coordenadas do círculo,800,17,0.1668761589193555
Tanh,coordenadas do círculo,820,1,0.002681443996872693
Tanh,coordenadas do círculo,820,3,0.006113584635208529
Tanh,coordenadas do círculo,820,9,0.04552986793842842
Tanh,coordenadas do círculo,820,17,0.15333758852684953
Tanh,coordenadas do círculo,840,1,0.002836091645808128
Tanh,coordenadas do círculo,840,3,0.005701811467861183
Tanh,coordenadas do círculo,840,9,0.040672841074511995
Tanh,coordenadas do círculo,840,17,0.1380443770604253
Tanh,coordenadas do círculo,860,1,0.00264201522407766
Tanh,coordenadas do círculo,860,3,0.005067541798523311
Tanh,coordenadas do círculo,860,9,0.036703732292212986
Tanh,coordenadas do círculo,860,17,0.12350599005964678
Tanh,coordenadas do círculo,880,1,0.0023186752412646095
Tanh,coordenadas do círculo,880,3,0.004634987632185951
Tanh,coordenadas do círculo,880,9,0.03268117690145347
Tanh,coordenadas do círculo,880,17,0.11003398152753537
Tanh,coordenadas do círculo,900,1,0.0019168419614714383
Tanh,coordenadas do círculo,900,3,0.004126221147730302
Tanh,coordenadas do círculo,900,9,0.02866531947289705
Tanh,coordenadas do círculo,900,17,0.09704556252464785
Tanh,coordenadas do círculo,920,1,0.0016397854842522246
Tanh,coordenadas do círculo,920,3,0.0037829483952654275
Tanh,coordenadas do círculo,920,9,0.02529354364969966
Tanh,coordenadas do círculo,920,17,0.08585376141081205
Tanh,coordenadas do círculo,940,1,0.0014588194809364752
Tanh,coordenadas do círculo,940,3,0.003439535094490908
Tanh,coordenadas do círculo,940,9,0.022419569825695197
Tanh,coordenadas do círculo,940,17,0.07646937898079016
Tanh,coordenadas do círculo,960,1,0.0012997946294272887
Tanh,coordenadas do círculo,960,3,0.003083786157589618
Tanh,coordenadas do círculo,960,9,0.019705425374433382
Tanh,coordenadas do círculo,960,17,0.06835566165016241
Tanh,coordenadas do círculo,980,1,0.001169321925395865
Tanh,coordenadas do círculo,980,3,0.0027011125280431876
Tanh,coordenadas do círculo,980,9,0.01708028590192473
Tanh,coordenadas do círculo,980,17,0.06156763350748764
Tanh,coordenadas do círculo,1000,1,0.001068013891212677
Tanh,coordenadas do círculo,1000,3,0.0023206119341651864
Tanh,coordenadas do círculo,1000,9,0.01455841165114551
Tanh,coordenadas do círculo,1000,17,0.05606680929930817
Tanh,coordenadas do círculo,1020,1,0.0009959567290106757
Tanh,coordenadas do círculo,1020,3,0.0020223459888603847
Tanh,coordenadas do círculo,1020,9,0.012298802687884124
Tanh,coordenadas do círculo,1020,17,0.051350357983396176
Tanh,coordenadas do círculo,1040,1,0.0009230923389896093
Tanh,coordenadas do círculo,1040,3,0.001802875766112242
Tanh,coordenadas do círculo,1040,9,0.01026552202855685
Tanh,coordenadas do círculo,1040,17,0.047113800716498046
Tanh,coordenadas do círculo,1060,1,0.0008261931234927913
Tanh,coordenadas do círculo,1060,3,0.001673462284439627
Tanh,coordenadas do círculo,1060,9,0.008459269298413744
Tanh,coordenadas do círculo,1060,17,0.043357781733225305
Tanh,coordenadas do círculo,1080,1,0.0006924406531535553
Tanh,coordenadas do círculo,1080,3,0.00151734917417515
Tanh,coordenadas do círculo,1080,9,0.006964538599350394
Tanh,coordenadas do círculo,1080,17,0.03992642089941838
Tanh,coordenadas do círculo,1100,1,0.0005549779850562012
Tanh,coordenadas do círculo,1100,3,0.001289593981792079
Tanh,coordenadas do círculo,1100,9,0.0057608288873850656
Tanh,coordenadas do círculo,1100,17,0.03668929868864521
Tanh,coordenadas do círculo,1120,1,0.0004463221460214176
Tanh,coordenadas do círculo,1120,3,0.0010663219241193384
Tanh,coordenadas do círculo,1120,9,0.004743822976859117
Tanh,coordenadas do círculo,1120,17,0.033661551482689143
Tanh,coordenadas do círculo,1140,1,0.0003691443894267856
Tanh,coordenadas do círculo,1140,3,0.0008878160444069739
Tanh,coordenadas do círculo,1140,9,0.0038413227132999372
Tanh,coordenadas do círculo,1140,17,0.03090900091596235
Tanh,coordenadas do círculo,1160,1,0.00031162150486187896
Tanh,coordenadas do círculo,1160,3,0.000746605274505509
Tanh,coordenadas do círculo,1160,9,0.0030440924074813264
Tanh,coordenadas do círculo,1160,17,0.028442445461892493
Tanh,coordenadas do círculo,1180,1,0.0002656511005661148
Tanh,coordenadas do círculo,1180,3,0.0006331394265135717
Tanh,coordenadas do círculo,1180,9,0.0023571557427981248
Tanh,coordenadas do círculo,1180,17,0.026231579654610798
Tanh,coordenadas do círculo,1200,1,0.00022739089156345498
Tanh,coordenadas do círculo,1200,3,0.0005410382203389649
Tanh,coordenadas do círculo,1200,9,0.001773417377919128
Tanh,coordenadas do círculo,1200,17,0.024240439847987086
Tanh,coordenadas do círculo,1220,1,0.0001958807901111078
Tanh,coordenadas do círculo,1220,3,0.0004649638076763689
Tanh,coordenadas do círculo,1220,9,0.0012793610135886657
Tanh,coordenadas do círculo,1220,17,0.022440250353298632
Tanh,coordenadas do círculo,1240,1,0.0001683294508284789
Tanh,coordenadas do círculo,1240,3,0.0004015830073043803
Tanh,coordenadas do círculo,1240,9,0.0008629846373120699
Tanh,coordenadas do círculo,1240,17,0.020807696625610914
Tanh,coordenadas do círculo,1260,1,0.00014514294363466464
Tanh,coordenadas do círculo,1260,3,0.0003480084926225781
Tanh,coordenadas do círculo,1260,9,0.0005136317987216129
Tanh,coordenadas do círculo,1260,17,0.01932355895959213
Tanh,coordenadas do círculo,1280,1,0.00012604086128590244
Tanh,coordenadas do círculo,1280,3,0.0003030401894097008
Tanh,coordenadas do círculo,1280,9,0.00022209243634261703
Tanh,coordenadas do círculo,1280,17,0.017971832624407887
Tanh,coordenadas do círculo,1300,1,0.00010853188161717939
Tanh,coordenadas do círculo,1300,3,0.0002642908255868867
Tanh,coordenadas do círculo,1300,9,1.8495422628475813e-05
Tanh,coordenadas do círculo,1300,17,0.01673990901952854
Tanh,coordenadas do círculo,1320,1,9.337785496889307e-05
Tanh,coordenadas do círculo,1320,3,0.0002313751545215745
Tanh,coordenadas do círculo,1320,9,0.00021559562412404624
Tanh,coordenadas do círculo,1320,17,0.015616841428169917
Tanh,coordenadas do círculo,1340,1,8.03683776388372e-05
Tanh,coordenadas do círculo,1340,3,0.00020315874263029542
Tanh,coordenadas do círculo,1340,9,0.0003746011772343763
Tanh,coordenadas do círculo,1340,17,0.014593543237348084
Tanh,coordenadas do círculo,1360,1,6.923990432381153e-05
Tanh,coordenadas do círculo,1360,3,0.00017837019602187445
Tanh,coordenadas do círculo,1360,9,0.0005011071447234612
Tanh,coordenadas do círculo,1360,17,0.013661519797527584
Tanh,coordenadas do círculo,1380,1,5.9603984402112415e-05
Tanh,coordenadas do círculo,1380,3,0.00015796240477967204
Tanh,coordenadas do círculo,1380,9,0.0006000874409976926
Tanh,coordenadas do círculo,1380,17,0.012813273031102726
Tanh,coordenadas do círculo,1400,1,5.089307966405831e-05
Tanh,coordenadas do círculo,1400,3,0.00014019179720434885
Tanh,coordenadas do círculo,1400,9,0.0006755348475994342
Tanh,coordenadas do círculo,1400,17,0.01204156733509749
Tanh,coordenadas do círculo,1420,1,4.287834225571045e-05
Tanh,coordenadas do círculo,1420,3,0.00012493815017847727
Tanh,coordenadas do círculo,1420,9,0.0007314044465325068
