modelo,epocas,acuracia_centrada,acuracia_transladada
MLP,10,0.7511111111111111,0.5377777777777778
MLP,20,0.7333333333333333,0.54
MLP,30,0.7488888888888889,0.5533333333333333
MLP + translações,10,0.5444444444444444,0.6044444444444445
MLP + translações,20,0.68,0.6533333333333333
MLP + translações,30,0.6555555555555556,0.6555555555555556
MLP + translações,40,0.7355555555555555,0.6422222222222222
MLP + translações,50,0.6577777777777778,0.7177777777777777
MLP + translações,60,0.6977777777777778,0.7088888888888889
MLP + translações,70,0.7088888888888889,0.6911111111111111
MLP + translações,80,0.76,0.7244444444444444
MLP + translações,90,0.7066666666666667,0.7111111111111111
CNN circular,10,0.5444444444444444,0.5444444444444444
CNN circular,20,0.5444444444444444,0.5444444444444444
CNN circular,30,0.5444444444444444,0.5444444444444444
CNN zero,10,0.5444444444444444,0.5444444444444444
CNN zero,20,0.5444444444444444,0.5444444444444444
CNN zero,30,0.5622222222222222,0.5777777777777777
