N,semente,modelo,centrada,transladada
100,21,MLP,0.7466666666666667,0.5377777777777778
100,21,CNN circular,0.5444444444444444,0.5444444444444444
100,22,MLP,0.7688888888888888,0.5422222222222223
100,22,CNN circular,0.5444444444444444,0.5444444444444444
300,21,MLP,0.7422222222222222,0.54
300,21,CNN circular,0.5444444444444444,0.5444444444444444
300,22,MLP,0.7311111111111112,0.54
300,22,CNN circular,0.5444444444444444,0.5444444444444444
700,21,MLP,0.7288888888888889,0.56
700,21,CNN circular,0.5444444444444444,0.5444444444444444
700,22,MLP,0.7266666666666667,0.5577777777777778
700,22,CNN circular,0.5444444444444444,0.5444444444444444
1400,21,MLP,0.7444444444444445,0.5488888888888889
1400,21,CNN circular,0.7377777777777778,0.7377777777777778
1400,22,MLP,0.7333333333333333,0.5533333333333333
1400,22,CNN circular,0.5444444444444444,0.5444444444444444
