tarefa,canal,soma,mx,my,mxx,myy,mxy,diagnostico
convexidade,0,0.4156602,0.572905074879632,-0.14138251622598916,0.3880776209750842,0.28089876860810997,-0.36722911528231184,misto/sem classificação
convexidade,1,0.29614955,0.2780031466962934,-0.27326577126447577,0.5591996035429714,0.24966766764081239,0.18240680184275257,misto/sem classificação
convexidade,2,0.7677759,-0.1607832500272473,-0.37250454500042385,0.6165601688424137,0.4554672419378277,-0.15834678164016613,misto/sem classificação
convexidade,3,0.020635102,-0.3225631660503921,-0.03949549697143172,0.028262553083138946,0.012955806072793907,-0.23142072046041784,derivada x aproximada
convexidade,4,-0.23669507,-0.20458276120041144,-0.34220533563750705,0.16161568266071813,-0.2587701503130394,0.13568247973799227,misto/sem classificação
convexidade,5,0.4645434,-0.5333791753026434,0.09269050519857489,0.405218058919609,0.40695568773116914,-0.00727722365278762,misto/sem classificação
area,0,0.110477194,0.6844006647352232,-0.1563442064468241,0.22272781900392702,0.1116352054150369,-0.37615784109699774,derivada x aproximada
area,1,-0.5754978,0.30972586485551884,-0.25194350587408143,-0.07354361013365547,-0.37830728638396005,0.18192721207204043,misto/sem classificação
area,2,0.98493195,-0.08282958704297914,-0.15600529093866666,0.7775322398953046,0.6865824078994373,-0.09982202579191625,misto/sem classificação
area,3,-0.8014311,-0.18388146630003124,0.0013600530901435159,-0.5957157762440566,-0.606798939067987,-0.023647670744646004,misto/sem classificação
area,4,-0.8350449,-0.034207872872961086,-0.14857508723862337,-0.4626483410314658,-0.6825885450910814,0.13432829233066707,misto/sem classificação
area,5,-0.5512116,-0.5261196086089681,0.06546387835218806,-0.27313368296496177,-0.30353555350493033,-0.04746764286723506,misto/sem classificação
