epsilon,q,componentes,fracao_ruido,referencia
0.3,-3.2,1,0.0,1.0
0.3,-3.0,1,0.0,1.0
0.3,-2.8000000000000003,1,0.0,1.0
0.3,-2.6,1,0.0,1.0
0.3,-2.4000000000000004,1,0.0,1.0
0.3,-2.2,1,0.0,1.0
0.3,-2.0,1,0.0,
0.3,-1.8,3,0.0,2.0
0.3,-1.6,2,0.0,2.0
0.3,-1.4000000000000001,2,0.0,2.0
0.3,-1.2000000000000002,2,0.0,2.0
0.3,-1.0,2,0.0,2.0
0.3,-0.7999999999999998,2,0.0,2.0
0.3,-0.6000000000000001,2,0.0,2.0
0.3,-0.3999999999999999,3,0.0,2.0
0.3,-0.20000000000000018,3,0.0,2.0
0.3,0.0,3,0.0,2.0
0.3,0.20000000000000018,2,0.0,2.0
0.3,0.3999999999999999,3,0.0,2.0
0.3,0.6000000000000001,2,0.0,2.0
0.3,0.7999999999999998,2,0.0,2.0
0.3,1.0,2,0.0,2.0
0.3,1.2000000000000002,2,0.0,2.0
0.3,1.4000000000000004,2,0.0,2.0
0.3,1.6000000000000005,2,0.0,2.0
0.3,1.7999999999999998,2,0.0,2.0
0.3,2.0,1,0.0,
0.3,2.2,2,0.0,1.0
0.3,2.4000000000000004,1,0.0,1.0
0.3,2.6000000000000005,2,0.0,1.0
0.3,2.8,2,0.0007142857142857143,1.0
0.3,3.0,3,0.0,1.0
0.3,3.2,2,0.0,1.0
0.45,-3.2,1,0.0,1.0
0.45,-3.0,1,0.0,1.0
0.45,-2.8000000000000003,1,0.0,1.0
0.45,-2.6,1,0.0,1.0
0.45,-2.4000000000000004,1,0.0,1.0
0.45,-2.2,1,0.0,1.0
0.45,-2.0,1,0.0,
0.45,-1.8,2,0.0,2.0
0.45,-1.6,2,0.0,2.0
0.45,-1.4000000000000001,2,0.0,2.0
0.45,-1.2000000000000002,2,0.0,2.0
0.45,-1.0,2,0.0,2.0
0.45,-0.7999999999999998,2,0.0,2.0
0.45,-0.6000000000000001,2,0.0,2.0
0.45,-0.3999999999999999,2,0.0,2.0
0.45,-0.20000000000000018,3,0.0,2.0
0.45,0.0,3,0.0,2.0
0.45,0.20000000000000018,2,0.0,2.0
0.45,0.3999999999999999,2,0.0,2.0
0.45,0.6000000000000001,2,0.0,2.0
0.45,0.7999999999999998,2,0.0,2.0
0.45,1.0,2,0.0,2.0
0.45,1.2000000000000002,2,0.0,2.0
0.45,1.4000000000000004,2,0.0,2.0
0.45,1.6000000000000005,2,0.0,2.0
0.45,1.7999999999999998,2,0.0,2.0
0.45,2.0,1,0.0,
0.45,2.2,2,0.0,1.0
0.45,2.4000000000000004,1,0.0,1.0
0.45,2.6000000000000005,1,0.0,1.0
0.45,2.8,2,0.0,1.0
0.45,3.0,1,0.0,1.0
0.45,3.2,2,0.0,1.0
0.6,-3.2,1,0.0,1.0
0.6,-3.0,1,0.0,1.0
0.6,-2.8000000000000003,1,0.0,1.0
0.6,-2.6,1,0.0,1.0
0.6,-2.4000000000000004,1,0.0,1.0
0.6,-2.2,1,0.0,1.0
0.6,-2.0,1,0.0,
0.6,-1.8,2,0.0,2.0
0.6,-1.6,2,0.0,2.0
0.6,-1.4000000000000001,2,0.0,2.0
