N,p,q,componentes,fracao_ruido,referencia
300,-4.0,-3.5,1,0.0,1
300,-4.0,-3.0625,2,0.0,2
300,-4.0,-2.625,3,0.0,2
300,-4.0,-2.1875,3,0.0,2
300,-4.0,-1.75,3,0.0,2
300,-4.0,-1.3125,3,0.006666666666666667,2
300,-4.0,-0.875,4,0.0,2
300,-4.0,-0.4375,3,0.0,2
300,-4.0,0.0,3,0.0,2
300,-4.0,0.4375,4,0.0,2
300,-4.0,0.875,4,0.0,2
300,-4.0,1.3125,4,0.0,2
300,-4.0,1.75,4,0.006666666666666667,2
300,-4.0,2.1875,4,0.0,2
300,-4.0,2.625,3,0.0,2
300,-4.0,3.0625,2,0.0,2
300,-4.0,3.5,2,0.0033333333333333335,1
300,-3.625,-3.5,1,0.0,1
300,-3.625,-3.0625,2,0.0,1
300,-3.625,-2.625,3,0.0,2
300,-3.625,-2.1875,2,0.0,2
300,-3.625,-1.75,2,0.0,2
300,-3.625,-1.3125,3,0.0,2
300,-3.625,-0.875,3,0.0,2
300,-3.625,-0.4375,4,0.0,2
300,-3.625,0.0,4,0.0033333333333333335,2
300,-3.625,0.4375,4,0.0033333333333333335,2
300,-3.625,0.875,4,0.0033333333333333335,2
300,-3.625,1.3125,3,0.0,2
300,-3.625,1.75,3,0.0033333333333333335,2
300,-3.625,2.1875,3,0.0033333333333333335,2
300,-3.625,2.625,1,0.0,2
300,-3.625,3.0625,2,0.0033333333333333335,1
300,-3.625,3.5,3,0.006666666666666667,1
300,-3.25,-3.5,1,0.0,1
300,-3.25,-3.0625,1,0.0,1
300,-3.25,-2.625,1,0.0,1
300,-3.25,-2.1875,2,0.0,2
300,-3.25,-1.75,3,0.0,2
300,-3.25,-1.3125,3,0.0,2
300,-3.25,-0.875,3,0.0,2
300,-3.25,-0.4375,4,0.0,2
300,-3.25,0.0,3,0.0,2
300,-3.25,0.4375,2,0.0,2
300,-3.25,0.875,3,0.006666666666666667,2
300,-3.25,1.3125,4,0.0,2
300,-3.25,1.75,3,0.0,2
300,-3.25,2.1875,1,0.0,2
300,-3.25,2.625,2,0.0,1
300,-3.25,3.0625,2,0.0,1
300,-3.25,3.5,2,0.0,1
300,-2.875,-3.5,1,0.0,1
300,-2.875,-3.0625,1,0.0,1
300,-2.875,-2.625,1,0.0,1
300,-2.875,-2.1875,1,0.0,1
300,-2.875,-1.75,3,0.0,2
300,-2.875,-1.3125,2,0.0,2
300,-2.875,-0.875,3,0.0,2
300,-2.875,-0.4375,4,0.0,2
300,-2.875,0.0,3,0.0,2
300,-2.875,0.4375,3,0.0,2
300,-2.875,0.875,4,0.0,2
300,-2.875,1.3125,3,0.0,2
300,-2.875,1.75,1,0.006666666666666667,2
300,-2.875,2.1875,2,0.0,1
300,-2.875,2.625,2,0.0,1
300,-2.875,3.0625,2,0.006666666666666667,1
300,-2.875,3.5,2,0.006666666666666667,1
300,-2.5,-3.5,1,0.0,1
300,-2.5,-3.0625,1,0.0,1
300,-2.5,-2.625,1,0.0,1
300,-2.5,-2.1875,1,0.0,1
300,-2.5,-1.75,1,0.0,1
300,-2.5,-1.3125,3,0.0,2
300,-2.5,-0.875,2,0.0,2
300,-2.5,-0.4375,2,0.0,2
300,-2.5,0.0,2,0.0,2
300,-2.5,0.4375,4,0.0,2
300,-2.5,0.875,3,0.0,2
300,-2.5,1.3125,3,0.0033333333333333335,2
300,-2.5,1.75,2,0.0,1
300,-2.5,2.1875,2,0.0,1
300,-2.5,2.625,3,0.0,1
300,-2.5,3.0625,2,0.01,1
300,-2.5,3.5,3,0.0,1
300,-2.125,-3.5,1,0.0,1
300,-2.125,-3.0625,2,0.0,1
300,-2.125,-2.625,1,0.0,1
300,-2.125,-2.1875,1,0.0,1
300,-2.125,-1.75,1,0.0,1
300,-2.125,-1.3125,1,0.0,1
300,-2.125,-0.875,3,0.0,2
300,-2.125,-0.4375,2,0.0,2
300,-2.125,0.0,3,0.0,2
300,-2.125,0.4375,3,0.0,2
300,-2.125,0.875,3,0.0,2
300,-2.125,1.3125,2,0.006666666666666667,1
300,-2.125,1.75,1,0.0,1
300,-2.125,2.1875,3,0.0,1
300,-2.125,2.625,2,0.0033333333333333335,1
300,-2.125,3.0625,2,0.006666666666666667,1
300,-2.125,3.5,2,0.0,1
300,-1.75,-3.5,1,0.0,1
300,-1.75,-3.0625,1,0.0,1
300,-1.75,-2.625,1,0.0,1
300,-1.75,-2.1875,2,0.0,1
300,-1.75,-1.75,1,0.0,1
300,-1.75,-1.3125,1,0.0,1
300,-1.75,-0.875,3,0.0,2
300,-1.75,-0.4375,2,0.0,2
300,-1.75,0.0,2,0.0,2
300,-1.75,0.4375,2,0.0,2
300,-1.75,0.875,1,0.0,2
300,-1.75,1.3125,2,0.0,1
300,-1.75,1.75,2,0.0,1
300,-1.75,2.1875,2,0.0,1
300,-1.75,2.625,2,0.0,1
300,-1.75,3.0625,2,0.0,1
300,-1.75,3.5,2,0.0,1
300,-1.375,-3.5,1,0.0,1
300,-1.375,-3.0625,1,0.0,1
300,-1.375,-2.625,1,0.0,1
300,-1.375,-2.1875,1,0.0,1
300,-1.375,-1.75,1,0.0,1
300,-1.375,-1.3125,1,0.0,1
300,-1.375,-0.875,1,0.0,1
300,-1.375,-0.4375,3,0.0,2
300,-1.375,0.0,2,0.0,2
300,-1.375,0.4375,3,0.0,2
300,-1.375,0.875,2,0.0,1
300,-1.375,1.3125,2,0.0,1
300,-1.375,1.75,2,0.0,1
300,-1.375,2.1875,2,0.0,1
300,-1.375,2.625,2,0.0,1
300,-1.375,3.0625,3,0.006666666666666667,1
300,-1.375,3.5,2,0.0033333333333333335,1
300,-1.0,-3.5,2,0.0,1
300,-1.0,-3.0625,1,0.0,1
300,-1.0,-2.625,1,0.0,1
300,-1.0,-2.1875,1,0.0,1
300,-1.0,-1.75,1,0.0,1
300,-1.0,-1.3125,1,0.0,1
300,-1.0,-0.875,1,0.0,1
300,-1.0,-0.4375,1,0.0,1
300,-1.0,0.0,2,0.0,2
300,-1.0,0.4375,1,0.0,1
300,-1.0,0.875,2,0.0,1
300,-1.0,1.3125,2,0.0,1
300,-1.0,1.75,2,0.0,1
300,-1.0,2.1875,2,0.0,1
300,-1.0,2.625,3,0.0,1
300,-1.0,3.0625,2,0.0,1
300,-1.0,3.5,2,0.0,1
300,-0.625,-3.5,2,0.0,1
300,-0.625,-3.0625,2,0.0,1
300,-0.625,-2.625,2,0.0,1
300,-0.625,-2.1875,1,0.0,1
300,-0.625,-1.75,1,0.0,1
300,-0.625,-1.3125,1,0.0,1
300,-0.625,-0.875,1,0.0,1
300,-0.625,-0.4375,1,0.0,1
300,-0.625,0.0,2,0.0,2
300,-0.625,0.4375,1,0.0,1
300,-0.625,0.875,2,0.0,1
300,-0.625,1.3125,1,0.0,1
300,-0.625,1.75,2,0.0,1
300,-0.625,2.1875,2,0.0,1
300,-0.625,2.625,2,0.0033333333333333335,1
300,-0.625,3.0625,2,0.0,1
300,-0.625,3.5,1,0.0,1
300,-0.25,-3.5,1,0.0,1
300,-0.25,-3.0625,2,0.0,1
300,-0.25,-2.625,1,0.0,1
300,-0.25,-2.1875,1,0.0,1
300,-0.25,-1.75,1,0.0,1
300,-0.25,-1.3125,1,0.0,1
300,-0.25,-0.875,1,0.0,1
300,-0.25,-0.4375,1,0.0,1
300,-0.25,0.0,2,0.0,2
300,-0.25,0.4375,1,0.0,1
300,-0.25,0.875,2,0.0,1
300,-0.25,1.3125,1,0.0,1
300,-0.25,1.75,1,0.0,1
300,-0.25,2.1875,2,0.0,1
300,-0.25,2.625,1,0.0,1
300,-0.25,3.0625,2,0.0,1
300,-0.25,3.5,2,0.0,1
300,0.125,-3.5,1,0.0,1
300,0.125,-3.0625,2,0.0,1
300,0.125,-2.625,1,0.0,1
300,0.125,-2.1875,1,0.0,1
300,0.125,-1.75,1,0.0,1
300,0.125,-1.3125,2,0.0,1
300,0.125,-0.875,1,0.0,1
300,0.125,-0.4375,1,0.0,1
300,0.125,0.0,1,0.0,1
300,0.125,0.4375,1,0.0,1
300,0.125,0.875,1,0.0,1
300,0.125,1.3125,2,0.0,1
300,0.125,1.75,2,0.0,1
300,0.125,2.1875,2,0.0,1
300,0.125,2.625,2,0.0033333333333333335,1
300,0.125,3.0625,3,0.0,1
300,0.125,3.5,1,0.0,1
300,0.5,-3.5,2,0.0,1
300,0.5,-3.0625,1,0.0,1
300,0.5,-2.625,2,0.0,1
300,0.5,-2.1875,1,0.0,1
300,0.5,-1.75,1,0.0,1
300,0.5,-1.3125,1,0.0,1
300,0.5,-0.875,1,0.0,1
300,0.5,-0.4375,1,0.0,1
300,0.5,0.0,1,0.0,1
300,0.5,0.4375,2,0.0,1
300,0.5,0.875,1,0.0,1
300,0.5,1.3125,1,0.0,1
300,0.5,1.75,1,0.0,1
300,0.5,2.1875,2,0.0,1
300,0.5,2.625,1,0.0,1
300,0.5,3.0625,2,0.0,1
300,0.5,3.5,2,0.0,1
1000,-4.0,-3.5,1,0.0,1
1000,-4.0,-3.0625,2,0.0,2
1000,-4.0,-2.625,2,0.0,2
1000,-4.0,-2.1875,2,0.0,2
1000,-4.0,-1.75,2,0.0,2
1000,-4.0,-1.3125,2,0.0,2
1000,-4.0,-0.875,2,0.0,2
1000,-4.0,-0.4375,3,0.0,2
1000,-4.0,0.0,3,0.0,2
1000,-4.0,0.4375,2,0.0,2
1000,-4.0,0.875,3,0.0,2
1000,-4.0,1.3125,2,0.0,2
1000,-4.0,1.75,3,0.0,2
1000,-4.0,2.1875,2,0.0,2
1000,-4.0,2.625,2,0.0,2
1000,-4.0,3.0625,1,0.0,2
1000,-4.0,3.5,1,0.0,1
1000,-3.625,-3.5,1,0.0,1
1000,-3.625,-3.0625,1,0.0,1
1000,-3.625,-2.625,2,0.0,2
1000,-3.625,-2.1875,2,0.0,2
1000,-3.625,-1.75,2,0.0,2
