k,componentes_exatas,modos_abaixo_1e8,lambda2,ARI
3,15,15,-1.7448955549535152e-15,-0.002491856329210203
4,5,5,-9.549246605757589e-16,0.4700780781830498
5,3,3,-4.4440466392410045e-16,1.0
6,2,2,1.3167398790727557e-15,1.0
7,2,2,8.540004447584646e-17,1.0
8,2,2,-1.90070925745454e-17,1.0
9,2,2,-1.1254407708130237e-16,1.0
10,2,2,-1.3958400035433054e-16,1.0
11,2,2,-1.128895267539654e-16,1.0
12,2,2,1.4132298791324624e-15,1.0
13,2,2,1.886541021028258e-16,1.0
14,2,2,1.3496426772104213e-16,1.0
15,2,2,2.39061119657431e-16,1.0
16,2,2,2.661066954245883e-17,1.0
17,2,2,-1.1354039314342197e-16,1.0
18,2,2,1.867789628642635e-15,1.0
19,2,2,2.511873435229566e-15,1.0
20,2,2,5.2878558047222995e-17,1.0
21,2,2,1.8536546728854477e-16,1.0
22,2,2,1.1359078241137459e-15,1.0
23,2,2,1.0250695952656544e-15,1.0
24,2,2,3.964100778143913e-16,1.0
25,2,2,6.250660503134125e-16,1.0
26,2,2,2.956910590254636e-16,1.0
27,1,1,0.00020537926892382483,1.0
28,1,1,0.00019972538799830093,1.0
29,1,1,0.00036570695041031635,1.0
30,1,1,0.0003569008393612991,1.0
31,1,1,0.0003486983173628253,1.0
32,1,1,0.0004906684992357644,1.0
33,1,1,0.0006265560303211216,1.0
34,1,1,0.0009067230162660711,1.0
35,1,1,0.001023188753807524,1.0
36,1,1,0.0013954238742512892,1.0
37,1,1,0.001999580712849669,1.0
38,1,1,0.0024901875136584817,1.0
39,1,1,0.003016036334957617,1.0
40,1,1,0.0037130202285060587,1.0
