inicializacao,semente,inercia,ARI
random,0,206.18236209766604,1.0
random,1,206.18236209766604,1.0
random,2,206.18236209766604,1.0
random,3,206.18236209766604,1.0
random,4,206.18236209766604,1.0
random,5,206.18236209766604,1.0
random,6,206.18236209766604,1.0
random,7,206.18236209766604,1.0
random,8,206.18236209766604,1.0
random,9,206.18236209766604,1.0
random,10,206.18236209766604,1.0
random,11,206.18236209766604,1.0
random,12,206.18236209766604,1.0
random,13,206.18236209766604,1.0
random,14,206.18236209766604,1.0
random,15,206.18236209766604,1.0
random,16,206.18236209766604,1.0
random,17,206.18236209766604,1.0
random,18,206.18236209766604,1.0
random,19,206.18236209766604,1.0
random,20,206.18236209766604,1.0
random,21,206.18236209766604,1.0
random,22,206.18236209766604,1.0
random,23,206.18236209766604,1.0
random,24,957.762264167359,0.44631375133930096
random,25,206.18236209766604,1.0
random,26,206.18236209766604,1.0
random,27,206.18236209766604,1.0
random,28,206.18236209766604,1.0
random,29,957.762264167359,0.44631375133930096
random,30,206.18236209766604,1.0
random,31,206.18236209766604,1.0
random,32,206.18236209766604,1.0
random,33,206.18236209766604,1.0
random,34,206.18236209766604,1.0
random,35,206.18236209766604,1.0
random,36,206.18236209766604,1.0
random,37,1075.631727818877,0.43895101185223717
random,38,206.18236209766604,1.0
random,39,206.18236209766604,1.0
random,40,206.18236209766604,1.0
random,41,206.18236209766604,1.0
random,42,206.18236209766604,1.0
random,43,206.18236209766604,1.0
random,44,206.18236209766604,1.0
random,45,206.18236209766604,1.0
random,46,206.18236209766604,1.0
random,47,206.18236209766604,1.0
random,48,957.6469654623778,0.44607482115695657
random,49,206.18236209766604,1.0
k-means++,0,206.18236209766604,1.0
k-means++,1,206.18236209766604,1.0
k-means++,2,206.18236209766604,1.0
k-means++,3,206.18236209766604,1.0
k-means++,4,206.18236209766604,1.0
k-means++,5,206.18236209766604,1.0
k-means++,6,206.18236209766604,1.0
k-means++,7,206.18236209766604,1.0
k-means++,8,206.18236209766604,1.0
k-means++,9,206.18236209766604,1.0
k-means++,10,206.18236209766604,1.0
k-means++,11,206.18236209766604,1.0
k-means++,12,206.18236209766604,1.0
k-means++,13,206.18236209766604,1.0
k-means++,14,206.18236209766604,1.0
k-means++,15,206.18236209766604,1.0
k-means++,16,206.18236209766604,1.0
k-means++,17,206.18236209766604,1.0
k-means++,18,206.18236209766604,1.0
k-means++,19,206.18236209766604,1.0
k-means++,20,206.18236209766604,1.0
k-means++,21,206.18236209766604,1.0
k-means++,22,206.18236209766604,1.0
k-means++,23,206.18236209766604,1.0
k-means++,24,206.18236209766604,1.0
k-means++,25,206.18236209766604,1.0
k-means++,26,206.18236209766604,1.0
k-means++,27,206.18236209766604,1.0
k-means++,28,206.18236209766604,1.0
k-means++,29,206.18236209766604,1.0
k-means++,30,206.18236209766604,1.0
k-means++,31,206.18236209766604,1.0
k-means++,32,206.18236209766604,1.0
k-means++,33,206.18236209766604,1.0
k-means++,34,206.18236209766604,1.0
k-means++,35,206.18236209766604,1.0
k-means++,36,206.18236209766604,1.0
k-means++,37,206.18236209766604,1.0
k-means++,38,206.18236209766604,1.0
k-means++,39,206.18236209766604,1.0
k-means++,40,206.18236209766604,1.0
k-means++,41,206.18236209766604,1.0
k-means++,42,206.18236209766604,1.0
k-means++,43,206.18236209766604,1.0
k-means++,44,206.18236209766604,1.0
k-means++,45,206.18236209766604,1.0
k-means++,46,206.18236209766604,1.0
k-means++,47,206.18236209766604,1.0
k-means++,48,206.18236209766604,1.0
k-means++,49,206.18236209766604,1.0
