epsilon,q0,q1,antes,depois
0.3,-2.0,-1.8,1,3
0.3,-1.8,-1.6,3,2
0.3,-0.6000000000000001,-0.3999999999999999,2,3
0.3,0.0,0.20000000000000018,3,2
0.3,0.20000000000000018,0.3999999999999999,2,3
0.3,0.3999999999999999,0.6000000000000001,3,2
0.3,1.7999999999999998,2.0,2,1
0.3,2.0,2.2,1,2
0.3,2.2,2.4000000000000004,2,1
0.3,2.4000000000000004,2.6000000000000005,1,2
0.3,2.8,3.0,2,3
0.3,3.0,3.2,3,2
0.45,-2.0,-1.8,1,2
0.45,-0.3999999999999999,-0.20000000000000018,2,3
0.45,0.0,0.20000000000000018,3,2
0.45,1.7999999999999998,2.0,2,1
0.45,2.0,2.2,1,2
0.45,2.2,2.4000000000000004,2,1
0.45,2.6000000000000005,2.8,1,2
0.45,2.8,3.0,2,1
0.45,3.0,3.2,1,2
0.6,-2.0,-1.8,1,2
0.6,1.6000000000000005,1.7999999999999998,2,1
0.6,2.0,2.2,1,2
0.6,2.2,2.4000000000000004,2,1
0.9,-2.0,-1.8,1,2
0.9,1.2000000000000002,1.4000000000000004,2,1
