y1,y2,theta,phi
5.620372390747070312e+01,4.979044914245605469e+00,9.311925801443895478e-01,1.652466492683413168e+00
-2.614446258544921875e+01,-3.937999725341796875e+01,2.085951986838933347e+00,6.099039974104923267e+00
-1.534302806854248047e+01,-6.021133899688720703e+00,3.158266869990192571e+00,4.731075407404299327e+00
4.261116790771484375e+01,-1.365201187133789062e+01,2.057552938785677910e+00,1.381861996649015323e+00
-7.311049938201904297e+00,5.831431198120117188e+01,1.060123681324946832e+00,3.164140768382634139e+00
1.027227210998535156e+01,2.306643486022949219e+01,4.186003101164114781e+00,2.424558224244254490e+00
5.430549240112304688e+01,-4.162008762359619141e+00,1.065379070866575351e+00,1.248724446624367657e+00
-1.091825103759765625e+01,-4.676224899291992188e+01,3.051610076251261017e+00,5.350449174724511536e+00
-1.684659576416015625e+01,-5.905055999755859375e+00,3.258850951576415245e+00,4.871707508841081946e+00
-2.462815666198730469e+01,9.441085815429687500e+00,4.296330413449937602e+00,5.369431639002390177e+00
-8.710497856140136719e+00,5.855483245849609375e+01,1.147675693736740721e+00,3.376960942078887307e+00
1.996646881103515625e+01,-1.964250087738037109e+00,3.706831346702784025e+00,2.315815449416723126e+00
-3.333686065673828125e+01,1.584572315216064453e+01,5.797945001963035416e+00,5.007148913965945525e+00
1.313984870910644531e+01,1.999643135070800781e+01,4.110404581097514942e+00,1.810032565793384229e+00
5.043237304687500000e+01,-1.514079189300537109e+01,1.401236957959854479e+00,6.029095184188155709e-01
2.159597778320312500e+01,-1.063127517700195312e+01,3.404893283858157371e+00,1.722963698327843352e+00
-3.041140556335449219e+01,-3.492535018920898438e+01,1.410709531738642886e+00,1.621696334902198444e-01
-2.225722885131835938e+01,7.955813407897949219e+00,4.131824371366533910e+00,4.738305195880288423e+00
1.272060775756835938e+01,2.244665718078613281e+01,4.416674104832837955e+00,1.978302902580934441e+00
-6.967299938201904297e+00,5.858359146118164062e+01,1.068721517521439068e+00,3.091574804958944878e+00
5.565305233001708984e+00,-4.167621994018554688e+01,4.316424983941156590e+00,2.386552968974632871e-01
3.218199157714843750e+01,-2.774767494201660156e+01,2.897087575937414616e+00,6.991834286647661267e-01
-4.843261718750000000e+01,-3.564898300170898438e+01,1.240881732454452768e+00,5.316468569893499030e+00
-3.613788604736328125e+01,3.261334991455078125e+01,3.393364761198545687e-01,4.388198104827169210e+00
8.058372497558593750e+00,-3.739414215087890625e+01,4.571561576447030539e+00,6.680970163639035064e-01
-5.617751312255859375e+01,1.787213516235351562e+01,8.175700941839194602e-01,4.043200977730628587e+00
2.163379907608032227e+00,4.675372123718261719e+00,3.504889830957936159e+00,3.076805510409992284e+00
1.483625221252441406e+01,4.817047119140625000e+01,6.147516213569956811e+00,2.356143027262577405e+00
4.031103515625000000e+01,-2.420444297790527344e+01,2.083966755686661010e+00,3.141734339903932138e-01
-6.775774478912353516e+00,1.534814739227294922e+01,4.368999661959502845e+00,3.621643893188043251e+00
-1.082045650482177734e+01,-2.204022789001464844e+01,2.055522473554129537e+00,4.402132790264392526e+00
2.318681907653808594e+01,4.545107650756835938e+01,1.521727983215173663e-01,1.886303886104414795e+00
4.226955032348632812e+01,2.255449295043945312e+00,1.337853446901329457e+00,1.634510959912722106e+00
4.720099639892578125e+01,-1.510471439361572266e+01,1.890336237652279205e+00,6.068733296773504149e-01
-3.891894912719726562e+01,3.418548345565795898e+00,5.129337052482124015e+00,5.807098735440949788e+00
3.357792663574218750e+01,-2.879515647888183594e+01,2.960580524993918328e+00,4.759559104770257898e-01
-3.144220924377441406e+01,3.724497985839843750e+01,9.182297580460771491e-02,3.872353020510762356e+00
-2.674530982971191406e+01,-3.869567108154296875e+01,1.915329856162789390e+00,6.179217447070085356e+00
-2.249220085144042969e+01,2.453292846679687500e+01,5.226945206690579937e+00,4.220187148485815776e+00
2.033189010620117188e+01,-4.373908233642578125e+01,3.512806563262675486e+00,1.314209297738784810e-01
-7.904205918312072754e-01,5.667046356201171875e+01,5.247624230378546972e-01,3.054278362112659462e+00
-4.026268768310546875e+01,-2.113417816162109375e+01,3.674137263418379984e-01,2.022750534028698033e-01
3.168261909484863281e+01,-1.380446052551269531e+01,2.403239787651872295e+00,1.370823794088156689e+00
-1.632924842834472656e+01,-4.820967674255371094e+00,3.336512097902775587e+00,4.695069342851458494e+00
1.731274223327636719e+01,3.104557609558105469e+01,5.092310887327997193e+00,1.841105987568917079e+00
-2.186260986328125000e+01,8.267515182495117188e+00,4.140164092424429398e+00,4.722251238585015720e+00
3.493183135986328125e+01,-2.182076454162597656e+01,2.600861043219306445e+00,6.712635771083909075e-01
1.436260032653808594e+01,4.631740570068359375e+01,5.959460722509809294e+00,2.124950373954392902e+00
-2.811763191223144531e+01,-3.677073287963867188e+01,1.819953560324155895e+00,1.344069631051910130e-01
2.273775672912597656e+01,-4.985627174377441406e+00,2.978925101072348980e+00,2.296610067909531150e+00
1.517680931091308594e+01,-2.879877662658691406e+01,4.079788788967666058e+00,1.253883566830128471e+00
-1.565081405639648438e+01,-5.373159408569335938e+00,3.210224570240514108e+00,4.725498680414693453e+00
-3.986920166015625000e+01,-4.143927574157714844e+00,4.381118426797244503e+00,6.007227653787212240e+00
2.154233932495117188e+01,-4.338910293579101562e+01,3.418677398833714243e+00,1.653691301157260984e-01
-1.617099285125732422e+00,-1.629445838928222656e+01,1.953440025814493497e+00,3.940977385100361996e+00
-4.802923965454101562e+01,-2.839719581604003906e+01,7.202122927980657563e-01,5.750928053979573740e+00
1.379734992980957031e+01,5.793203115463256836e-01,3.444124412011506209e+00,2.754447949504044590e+00
1.558884429931640625e+01,-2.961775970458984375e+01,3.856309376507117026e+00,1.207430458762727588e+00
2.598620796203613281e+01,-3.997235488891601562e+01,3.467712717921641818e+00,4.370416454214327007e-01
-1.796023607254028320e+00,-1.603325653076171875e+01,2.059698110359190260e+00,3.885192293784867523e+00
5.645713806152343750e+01,8.243019104003906250e+00,7.583137223378469960e-01,1.827298221979747561e+00
4.175212860107421875e+01,3.031005859375000000e+01,6.278533200129261083e+00,1.023150986064737200e+00
