y1,y2,theta,phi
2.279379463195800781e+01,3.659854650497436523e+00,9.311925801443895478e-01,1.652466492683413168e+00
-1.791429328918457031e+01,-3.775024032592773438e+01,2.085951986838933347e+00,6.099039974104923267e+00
-2.545717048645019531e+01,1.559137439727783203e+01,3.158266869990192571e+00,4.731075407404299327e+00
-7.674483776092529297e+00,-2.418300819396972656e+01,2.057552938785677910e+00,1.381861996649015323e+00
3.479376983642578125e+01,4.602600097656250000e+01,1.060123681324946832e+00,3.164140768382634139e+00
4.064244461059570312e+01,3.546782493591308594e+00,4.186003101164114781e+00,2.424558224244254490e+00
2.447016716003417969e+01,-6.191435813903808594e+00,1.065379070866575351e+00,1.248724446624367657e+00
-1.478984069824218750e+01,-5.675783157348632812e+01,3.051610076251261017e+00,5.350449174724511536e+00
-2.652058410644531250e+01,1.664888954162597656e+01,3.258850951576415245e+00,4.871707508841081946e+00
-1.906771659851074219e+01,3.452303314208984375e+01,4.296330413449937602e+00,5.369431639002390177e+00
3.500548553466796875e+01,4.742693710327148438e+01,1.147675693736740721e+00,3.376960942078887307e+00
1.120549869537353516e+01,-1.642844963073730469e+01,3.706831346702784025e+00,2.315815449416723126e+00
-1.809452629089355469e+01,4.602700424194335938e+01,5.797945001963035416e+00,5.007148913965945525e+00
3.970070648193359375e+01,-4.349067211151123047e-01,4.110404581097514942e+00,1.810032565793384229e+00
-1.562913322448730469e+01,-2.485218048095703125e+01,1.401236957959854479e+00,6.029095184188155709e-01
9.992284774780273438e+00,-2.203170204162597656e+01,3.404893283858157371e+00,1.722963698327843352e+00
-2.197716903686523438e+01,-3.325609970092773438e+01,1.410709531738642886e+00,1.621696334902198444e-01
-1.916064071655273438e+01,3.172397232055664062e+01,4.131824371366533910e+00,4.738305195880288423e+00
4.151208496093750000e+01,1.216400980949401855e+00,4.416674104832837955e+00,1.978302902580934441e+00
3.442187500000000000e+01,4.579745483398437500e+01,1.068721517521439068e+00,3.091574804958944878e+00
3.723773193359375000e+01,-4.176382827758789062e+01,4.316424983941156590e+00,2.386552968974632871e-01
6.519685268402099609e+00,-3.499367141723632812e+01,2.897087575937414616e+00,6.991834286647661267e-01
-4.369649505615234375e+01,-3.401120758056640625e+01,1.240881732454452768e+00,5.316468569893499030e+00
-7.689251422882080078e+00,5.857504653930664062e+01,3.393364761198545687e-01,4.388198104827169210e+00
3.596804428100585938e+01,-3.702125167846679688e+01,4.571561576447030539e+00,6.680970163639035064e-01
-5.447052764892578125e+01,1.606330490112304688e+01,8.175700941839194602e-01,4.043200977730628587e+00
-4.512537002563476562e+00,1.243328857421875000e+01,3.504889830957936159e+00,3.076805510409992284e+00
3.473752975463867188e+01,2.058402061462402344e+01,6.147516213569956811e+00,2.356143027262577405e+00
-1.105363178253173828e+01,-3.340694046020507812e+01,2.083966755686661010e+00,3.141734339903932138e-01
-1.938465356826782227e+00,2.547929573059082031e+01,4.368999661959502845e+00,3.621643893188043251e+00
-4.060102462768554688e+01,3.312217712402343750e+00,2.055522473554129537e+00,4.402132790264392526e+00
3.794495391845703125e+01,1.461118984222412109e+01,1.521727983215173663e-01,1.886303886104414795e+00
1.306106853485107422e+01,-4.101551055908203125e+00,1.337853446901329457e+00,1.634510959912722106e+00
-1.236302661895751953e+01,-2.568228149414062500e+01,1.890336237652279205e+00,6.068733296773504149e-01
-3.144926261901855469e+01,4.406512832641601562e+01,5.129337052482124015e+00,5.807098735440949788e+00
6.118034839630126953e+00,-3.670756530761718750e+01,2.960580524993918328e+00,4.759559104770257898e-01
-1.363757848739624023e+00,5.785416412353515625e+01,9.182297580460771491e-02,3.872353020510762356e+00
-1.837297058105468750e+01,-3.697927474975585938e+01,1.915329856162789390e+00,6.179217447070085356e+00
-5.817696571350097656e+00,4.311277008056640625e+01,5.226945206690579937e+00,4.220187148485815776e+00
2.162166213989257812e+01,-4.379635238647460938e+01,3.512806563262675486e+00,1.314209297738784810e-01
3.645443344116210938e+01,3.974248886108398438e+01,5.247624230378546972e-01,3.054278362112659462e+00
-3.507051849365234375e+01,-1.979197311401367188e+01,3.674137263418379984e-01,2.022750534028698033e-01
-3.630150575190782547e-03,-2.472562408447265625e+01,2.403239787651872295e+00,1.370823794088156689e+00
-2.543485260009765625e+01,1.713750076293945312e+01,3.336512097902775587e+00,4.695069342851458494e+00
4.985552978515625000e+01,3.527769565582275391e+00,5.092310887327997193e+00,1.841105987568917079e+00
-1.868507957458496094e+01,3.156633186340332031e+01,4.140164092424429398e+00,4.722251238585015720e+00
-1.739628195762634277e+00,-3.298053359985351562e+01,2.600861043219306445e+00,6.712635771083909075e-01
3.644259262084960938e+01,2.147311973571777344e+01,5.959460722509809294e+00,2.124950373954392902e+00
-1.938658905029296875e+01,-3.477640151977539062e+01,1.819953560324155895e+00,1.344069631051910130e-01
6.629203319549560547e+00,-1.723614692687988281e+01,2.978925101072348980e+00,2.296610067909531150e+00
2.786407852172851562e+01,-2.862365913391113281e+01,4.079788788967666058e+00,1.253883566830128471e+00
-2.527209663391113281e+01,1.628260040283203125e+01,3.210224570240514108e+00,4.725498680414693453e+00
-3.840833663940429688e+01,4.102255249023437500e+01,4.381118426797244503e+00,6.007227653787212240e+00
2.041482162475585938e+01,-4.345649337768554688e+01,3.418677398833714243e+00,1.653691301157260984e-01
-1.982478713989257812e+01,-1.553817629814147949e+00,1.953440025814493497e+00,3.940977385100361996e+00
-4.161631393432617188e+01,-2.741241455078125000e+01,7.202122927980657563e-01,5.750928053979573740e+00
-8.102800846099853516e-01,6.463234901428222656e+00,3.444124412011506209e+00,2.754447949504044590e+00
2.741944313049316406e+01,-2.941870880126953125e+01,3.856309376507117026e+00,1.207430458762727588e+00
1.607711410522460938e+01,-3.989686584472656250e+01,3.467712717921641818e+00,4.370416454214327007e-01
-1.974447250366210938e+01,-1.235657572746276855e+00,2.059698110359190260e+00,3.885192293784867523e+00
2.301307296752929688e+01,6.932801246643066406e+00,7.583137223378469960e-01,1.827298221979747561e+00
3.348081207275390625e+01,-1.157412719726562500e+01,6.278533200129261083e+00,1.023150986064737200e+00
3.982043838500976562e+01,1.436348342895507812e+01,6.131013010528649332e+00,1.523474483731441120e+00
-1.490827274322509766e+01,-2.179561233520507812e+01,1.504685708999652149e+00,9.710631216043773550e-01
-1.976610183715820312e+01,-3.436262130737304688e+01,1.760778894595906197e+00,2.264482598122715962e-01
3.449969100952148438e+01,3.568667602539062500e+01,1.544073547317624251e-01,3.268150963829136391e+00
-1.054712200164794922e+01,-5.814550018310546875e+01,3.474804780373920821e+00,5.530317292748076596e+00
1.772296142578125000e+01,-4.218406677246093750e+01,3.274699994546912851e+00,2.543788807819034048e-01
2.323209047317504883e+00,-2.245563125610351562e+01,2.599449537310066560e+00,1.605357188337640961e+00
8.807406425476074219e+00,3.929390716552734375e+01,4.895487734209877040e+00,3.704862821111110538e+00
-1.721232032775878906e+01,-4.743678283691406250e+01,2.237016202726811009e+00,5.795819349745730875e+00
-1.771864318847656250e+01,-4.784598922729492188e+01,2.229258494069345620e+00,5.650364331318973754e+00
-5.541191864013671875e+01,1.349180507659912109e+01,8.422957371639380186e-01,4.374691184262909260e+00
-5.330441284179687500e+01,1.318788433074951172e+01,1.061202041132613072e+00,4.163546141534964384e+00
2.815369987487792969e+01,-2.801827430725097656e+01,4.159716059462962967e+00,1.391244626428973286e+00
-4.413889694213867188e+01,-2.448892402648925781e+01,3.398958299082991963e-01,5.398323130497514555e+00
-1.121210098266601562e+00,1.796663093566894531e+01,4.101907046426630288e+00,3.075074604942301004e+00
3.780610275268554688e+01,-3.931252288818359375e+01,4.631658846320874545e+00,2.678816616415204965e-01
2.697857093811035156e+01,1.539757728576660156e+01,3.819449178197551475e-01,2.427642496543230166e+00
3.221572494506835938e+01,-1.078748512268066406e+01,1.126384073997743346e-01,1.226332596048830714e+00
4.404073715209960938e+01,1.755150985717773438e+01,5.444800560358342700e+00,1.601776198099596815e+00
3.212262344360351562e+01,-1.120688533782958984e+01,1.388099710593195257e-01,1.172302460501750465e+00
-2.311863899230957031e+01,4.392708969116210938e+01,5.431585223758660597e+00,5.613466668735042298e+00
3.433645629882812500e+01,3.289378356933593750e+01,6.179390930521462266e+00,3.108257102889138590e+00
-1.927148818969726562e+01,3.099955368041992188e+01,4.041934810631488517e+00,4.765016683225598904e+00
-5.259668350219726562e+00,1.131720542907714844e+01,3.346808491129531937e+00,3.049136355708005564e+00
1.345590782165527344e+01,3.645024490356445312e+01,4.942429226850967083e+00,3.169060569331258126e+00
-4.022453689575195312e+01,-2.679761505126953125e+01,6.665119787769694382e-01,5.873233242672435850e+00
4.527666091918945312e+01,2.585808753967285156e+00,4.804971637305747834e+00,1.936714058552143181e+00
-4.628037643432617188e+01,4.139082908630371094e+00,1.513069084351085225e+00,4.641409365035524814e+00
-1.494380950927734375e+00,-2.902226448059082031e+01,2.384435524216091284e+00,9.694091999967586748e-01
-2.008168792724609375e+01,2.574080657958984375e+01,3.591689867903532285e+00,4.434730741820463784e+00
-2.913335990905761719e+01,-3.937987899780273438e+01,1.797929552884329318e+00,5.393070848555065133e+00
-4.123281860351562500e+01,4.009336471557617188e+00,1.835165597211103394e+00,4.347468239336927276e+00
8.994092941284179688e+00,-2.475342941284179688e+01,3.201983650136439152e+00,1.407241290344613871e+00
5.890869140625000000e+00,-1.770040321350097656e+01,2.731726649246330574e+00,2.209248451949282099e+00
