metodo,entrada,perplexidade,semente,KL,knn_preservado,correlacao_global,fracao_arestas_estiradas,knn_ambiente
t-SNE,ambiente,5,0,0.5220202803611755,0.7201851851851852,0.4612367908005982,0.16462962962962963,0.7201851851851852
t-SNE,ambiente,5,1,0.5180044770240784,0.7214814814814814,0.564597512728472,0.1362962962962963,0.7224074074074075
t-SNE,ambiente,5,2,0.520200252532959,0.7129629629629629,0.5321427067959021,0.15203703703703703,0.7131481481481481
t-SNE,ambiente,30,0,0.6802389621734619,0.7888888888888889,0.627348677715528,0.10907407407407407,0.7898148148148147
t-SNE,ambiente,30,1,0.683259129524231,0.7887037037037036,0.6314906298539916,0.11092592592592593,0.7894444444444444
t-SNE,ambiente,30,2,0.6830649971961975,0.7885185185185186,0.6307941745028158,0.11148148148148149,0.789074074074074
t-SNE,ambiente,100,0,0.5305071473121643,0.7483333333333333,0.6146556402193544,0.08722222222222223,0.7488888888888889
t-SNE,ambiente,100,1,0.5271506905555725,0.8131481481481481,0.5593806449890902,0.06277777777777778,0.8135185185185185
t-SNE,ambiente,100,2,0.4959898889064789,0.7722222222222223,0.5816428400154823,0.06962962962962962,0.7727777777777778
t-SNE,intrinseca,5,0,0.5243024230003357,0.7192592592592592,0.5022629895942494,0.15685185185185185,0.7196296296296297
t-SNE,intrinseca,5,1,0.5170027613639832,0.7211111111111111,0.5619248950398669,0.1437037037037037,0.7211111111111111
t-SNE,intrinseca,5,2,0.5230106711387634,0.7125925925925926,0.5306573924201528,0.15055555555555555,0.7125925925925926
t-SNE,intrinseca,30,0,0.6948429942131042,0.7877777777777778,0.6281007070513162,0.10907407407407407,0.7887037037037038
t-SNE,intrinseca,30,1,0.695186197757721,0.7846296296296297,0.6310204571111795,0.10666666666666667,0.785
t-SNE,intrinseca,30,2,0.6955832242965698,0.7848148148148149,0.6304539119904169,0.10685185185185185,0.7851851851851853
t-SNE,intrinseca,100,0,0.5604916214942932,0.7603703703703703,0.6123609981146748,0.0787037037037037,0.7611111111111111
t-SNE,intrinseca,100,1,0.5554272532463074,0.7814814814814816,0.6170942297608062,0.06777777777777778,0.7820370370370371
t-SNE,intrinseca,100,2,0.5980710983276367,0.7216666666666667,0.5943179595879527,0.08259259259259259,0.7225925925925925
